ID,alpha,beta,n_simulation,initial_value,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,mean,median,mode
1,0.85,0.8,100,200,0,30,30,19,9,4,4,4,0,3.55,3,2
1,0.85,0.8,100,300,0,29,39,18,7,2,3,2,0,3.31,3,3
1,0.85,0.8,100,400,0,30,35,16,11,3,2,3,0,3.4,3,3
1,0.85,0.8,100,500,0,30,38,11,7,8,5,1,0,3.44,3,3
1,0.85,0.8,100,600,0,22,41,23,9,3,0,2,0,3.38,3,3
1,0.85,0.8,100,700,0,37,25,17,12,8,0,1,0,3.33,3,2
2,0.8,0.85,100,200,0,44,28,14,7,3,2,2,0,3.11,3,2
2,0.8,0.85,100,300,0,37,30,18,12,2,1,0,0,3.15,3,2
2,0.8,0.85,100,400,0,37,31,14,7,4,6,1,0,3.32,3,2
2,0.8,0.85,100,500,0,37,37,14,7,3,0,2,0,3.1,3,2
2,0.8,0.85,100,600,0,31,39,14,8,3,4,1,0,3.29,3,3
2,0.8,0.85,100,700,0,34,36,11,9,5,5,0,0,3.3,3,3
3,0.8,0.9,100,200,24,31,24,11,4,3,1,2,0,2.63,2,2
3,0.8,0.9,100,300,20,40,14,14,5,2,4,1,0,2.71,2,2
3,0.8,0.9,100,400,0,53,27,11,5,3,1,0,0,2.81,2,2
3,0.8,0.9,100,500,0,55,16,13,6,2,6,2,0,3.1,2,2
3,0.8,0.9,100,600,0,49,24,13,7,2,3,2,0,3.06,3,2
3,0.8,0.9,100,700,0,53,20,11,4,7,3,2,0,3.09,2,2
4,0.8,0.95,100,200,25,35,21,14,2,3,0,0,0,2.42,2,2
4,0.8,0.95,100,300,27,31,25,9,4,2,1,1,0,2.47,2,2
4,0.8,0.95,100,400,25,32,22,11,2,4,2,2,0,2.63,2,2
4,0.8,0.95,100,500,22,40,22,9,5,0,2,0,0,2.43,2,2
4,0.8,0.95,100,600,16,48,18,11,5,2,0,0,0,2.47,2,2
4,0.8,0.95,100,700,18,35,26,8,7,3,2,1,0,2.73,2,2
5,0.95,0.8,100,200,0,26,13,31,18,5,3,4,0,3.88,4,4
5,0.95,0.8,100,300,0,23,17,26,20,6,6,2,0,3.95,4,4
5,0.95,0.8,100,400,0,23,17,30,14,12,3,1,0,3.88,4,4
5,0.95,0.8,100,500,0,22,17,29,18,6,4,4,0,3.97,4,4
5,0.95,0.8,100,600,0,25,9,33,18,9,3,3,0,3.98,4,4
5,0.95,0.8,100,700,0,33,17,24,12,6,3,5,0,3.7,3.5,2
6,0.95,1,100,200,0,48,19,16,11,4,0,2,0,3.12,3,2
6,0.95,1,100,300,0,60,24,7,5,3,1,0,0,2.7,2,2
6,0.95,1,100,400,0,56,23,14,4,1,1,1,0,2.78,2,2
6,0.95,1,100,500,0,43,22,22,8,1,1,3,0,3.17,3,2
6,0.95,1,100,600,0,52,28,9,6,3,1,1,0,2.87,2,2
6,0.95,1,100,700,0,48,24,15,11,2,0,0,0,2.95,3,2
7,0.95,1.05,100,200,24,32,24,11,3,5,1,0,0,2.56,2,2
7,0.95,1.05,100,300,22,46,15,7,6,2,0,2,0,2.45,2,2
7,0.95,1.05,100,400,34,28,18,12,3,3,1,1,0,2.4,2,1
7,0.95,1.05,100,500,20,35,22,14,5,1,2,1,0,2.65,2,2
7,0.95,1.05,100,600,22,37,22,11,6,2,0,0,0,2.48,2,2
7,0.95,1.05,100,700,18,48,15,9,4,4,2,0,0,2.53,2,2
8,0.95,1.15,100,200,45,20,19,10,4,1,0,1,0,2.16,2,1
8,0.95,1.15,100,300,23,41,20,7,5,2,0,2,0,2.46,2,2
8,0.95,1.15,100,400,23,32,26,10,8,0,1,0,0,2.52,2,2
8,0.95,1.15,100,500,22,43,13,13,4,4,0,1,0,2.51,2,2
8,0.95,1.15,100,600,19,38,29,5,8,1,0,0,0,2.48,2,2
8,0.95,1.15,100,700,22,36,23,8,4,4,2,1,0,2.61,2,2
9,0.9,0.8,100,200,0,27,6,36,17,4,4,6,0,4.01,4,4
9,0.9,0.8,100,300,0,34,22,22,11,7,3,1,0,3.48,3,2
9,0.9,0.8,100,400,0,30,26,24,13,4,2,1,0,3.45,3,2
9,0.9,0.8,100,500,0,32,32,14,9,9,2,2,0,3.45,3,2
9,0.9,0.8,100,600,0,22,35,21,12,4,3,3,0,3.62,3,3
9,0.9,0.8,100,700,0,31,34,19,10,3,0,3,0,3.32,3,3
10,1.05,0.95,100,200,0,26,24,27,17,3,2,1,0,3.57,3.5,4
10,1.05,0.95,100,300,0,25,36,21,5,7,3,3,0,3.54,3,3
10,1.05,0.95,100,400,0,30,30,17,8,6,7,2,0,3.59,3,2
10,1.05,0.95,100,500,0,29,36,15,9,4,1,6,0,3.5,3,3
10,1.05,0.95,100,600,0,20,46,16,11,5,1,1,0,3.42,3,3
10,1.05,0.95,100,700,0,27,38,17,13,3,1,1,0,3.34,3,3
11,1.05,1.1,100,200,17,41,26,4,7,1,0,4,0,2.66,2,2
11,1.05,1.1,100,300,27,34,19,7,1,5,2,5,0,2.69,2,2
11,1.05,1.1,100,400,23,41,20,6,4,1,2,3,0,2.53,2,2
11,1.05,1.1,100,500,32,32,21,6,3,4,1,1,0,2.37,2,1
11,1.05,1.1,100,600,0,56,16,13,10,3,2,0,0,2.94,2,2
11,1.05,1.1,100,700,0,58,18,11,9,1,2,1,0,2.87,2,2
12,1.05,1.15,100,200,29,29,19,12,8,0,2,1,0,2.54,2,1
12,1.05,1.15,100,300,27,33,14,15,5,4,1,1,0,2.59,2,2
12,1.05,1.15,100,400,31,34,20,7,5,0,1,2,0,2.35,2,2
12,1.05,1.15,100,500,22,36,15,14,7,0,4,2,0,2.74,2,2
12,1.05,1.15,100,600,28,36,15,12,5,2,1,1,0,2.45,2,2
12,1.05,1.15,100,700,24,43,16,7,4,3,1,2,0,2.47,2,2
13,1.05,1.2,100,200,27,33,21,10,3,3,0,3,0,2.53,2,2
13,1.05,1.2,100,300,31,40,17,5,3,1,2,1,0,2.25,2,2
13,1.05,1.2,100,400,29,39,18,6,2,2,2,2,0,2.37,2,2
13,1.05,1.2,100,500,24,40,21,8,5,0,1,1,0,2.39,2,2
13,1.05,1.2,100,600,27,34,15,12,6,2,3,1,0,2.59,2,2
13,1.05,1.2,100,700,27,42,12,14,2,2,0,1,0,2.33,2,2
14,1,0.95,100,200,0,24,38,19,9,4,5,1,0,3.5,3,3
14,1,0.95,100,300,0,25,32,21,8,10,3,1,0,3.59,3,3
14,1,0.95,100,400,0,28,38,19,9,2,2,2,0,3.33,3,3
14,1,0.95,100,500,0,27,32,21,8,5,5,2,0,3.55,3,3
14,1,0.95,100,600,0,24,39,21,8,6,0,2,0,3.41,3,3
14,1,0.95,100,700,0,27,26,23,12,7,3,2,0,3.63,3,2
15,1.15,0.95,100,200,0,28,9,23,21,7,7,5,0,4.11,4,2
15,1.15,0.95,100,300,0,26,19,30,10,8,6,1,0,3.77,4,4
15,1.15,0.95,100,400,0,30,19,27,9,7,5,3,0,3.71,4,2
15,1.15,0.95,100,500,0,24,9,32,19,10,1,5,0,4.05,4,4
15,1.15,0.95,100,600,0,27,21,21,18,9,3,1,0,3.74,4,2
15,1.15,0.95,100,700,0,24,28,18,14,8,5,3,0,3.81,3,3
16,1.15,1.05,100,200,0,25,37,19,9,5,1,4,0,3.51,3,3
16,1.15,1.05,100,300,0,19,47,13,10,5,4,2,0,3.55,3,3
16,1.15,1.05,100,400,0,22,35,16,14,6,2,5,0,3.73,3,3
16,1.15,1.05,100,500,0,32,25,18,8,8,4,5,0,3.67,3,2
16,1.15,1.05,100,600,0,23,34,22,9,5,4,3,0,3.63,3,3
16,1.15,1.05,100,700,0,30,33,18,11,5,2,1,0,3.38,3,3
17,1.1,1.05,100,200,0,27,38,20,9,3,1,2,0,3.34,3,3
17,1.1,1.05,100,300,0,19,39,24,9,2,1,6,0,3.63,3,3
17,1.1,1.05,100,400,0,22,36,19,12,6,3,2,0,3.61,3,3
17,1.1,1.05,100,500,0,26,38,18,8,6,2,2,0,3.44,3,3
17,1.1,1.05,100,600,0,26,34,21,7,6,2,4,0,3.55,3,3
17,1.1,1.05,100,700,0,25,50,12,5,4,2,2,0,3.27,3,3
18,1.2,1.05,100,200,0,34,14,23,11,11,3,4,0,3.76,4,2
18,1.2,1.05,100,300,0,24,27,28,8,6,5,2,0,3.68,3,4
18,1.2,1.05,100,400,0,28,29,27,8,5,1,2,0,3.44,3,3
18,1.2,1.05,100,500,0,20,34,31,8,6,1,0,0,3.49,3,3
18,1.2,1.05,100,600,0,20,32,28,10,7,2,1,0,3.62,3,3
18,1.2,1.05,100,700,0,23,39,25,7,4,0,2,0,3.38,3,3
