Simulation,Trial
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,1.0
6.0,0.0
7.0,0.0
8.0,3.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
14.0,0.0
15.0,1.0
16.0,1.0
17.0,2.0
18.0,2.0
19.0,1.0
20.0,1.0
21.0,2.0
22.0,2.0
24.0,0.0
25.0,1.0
26.0,0.0
27.0,1.0
28.0,0.0
29.0,1.0
30.0,0.0
31.0,4.0
32.0,3.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,1.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,1.0
43.0,1.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,1.0
49.0,0.0
50.0,1.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,1.0
56.0,0.0
57.0,1.0
59.0,1.0
60.0,1.0
61.0,0.0
62.0,3.0
63.0,0.0
64.0,0.0
65.0,2.0
66.0,2.0
67.0,1.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,2.0
72.0,0.0
73.0,1.0
74.0,3.0
75.0,2.0
76.0,0.0
77.0,2.0
78.0,0.0
79.0,0.0
80.0,1.0
81.0,0.0
82.0,0.0
83.0,3.0
86.0,1.0
87.0,2.0
88.0,0.0
89.0,0.0
90.0,1.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,3.0
95.0,2.0
96.0,1.0
97.0,0.0
98.0,0.0
99.0,2.0
100.0,1.0
